filename,a1_malloc_calls,a2_free_calls,a3_missing_frees,b1_alloc_bytes,b2_free_bytes,b3_leak_bytes,c_run_time_sec
qasan_report_2025-05-15_23-53-42.txt,29833,29305,528,2838053,2759458,78595,1.1888
qasan_report_2025-05-15_23-54-17.txt,29385,28857,528,2767141,2688546,78595,1.198585
qasan_report_2025-05-15_23-54-51.txt,29623,29095,528,2804685,2726090,78595,1.18213
qasan_report_2025-05-15_23-55-25.txt,29175,28647,528,2733901,2655306,78595,1.180397
qasan_report_2025-05-15_23-55-59.txt,29189,28661,528,2736117,2657522,78595,1.186268
qasan_report_2025-05-15_23-56-34.txt,29024,28496,528,2712465,2633870,78595,1.179272
qasan_report_2025-05-15_23-57-09.txt,28996,28468,528,2707821,2629226,78595,1.16626
qasan_report_2025-05-15_23-57-44.txt,29430,28902,528,2776477,2697882,78595,1.296677
qasan_report_2025-05-15_23-58-19.txt,29423,28895,528,2775489,2696894,78595,1.192923
qasan_report_2025-05-15_23-58-54.txt,28996,28468,528,2707613,2629018,78595,1.206658
qasan_report_2025-05-15_23-59-28.txt,32664,32136,528,3288453,3209858,78595,1.27182
qasan_report_2025-05-16_00-00-03.txt,32727,32199,528,3298501,3219906,78595,1.296161
qasan_report_2025-05-16_00-00-38.txt,29423,28895,528,2775449,2696854,78595,1.19897
qasan_report_2025-05-16_00-01-13.txt,29409,28881,528,2773073,2694478,78595,1.187841
qasan_report_2025-05-16_00-01-48.txt,29409,28881,528,2773029,2694434,78595,1.190145
qasan_report_2025-05-16_00-02-22.txt,29024,28496,528,2711913,2633318,78595,1.173058
qasan_report_2025-05-16_00-02-58.txt,29017,28489,528,2710849,2632254,78595,1.168837
qasan_report_2025-05-16_00-03-33.txt,28996,28468,528,2707613,2629018,78595,1.170498
qasan_report_2025-05-16_00-04-08.txt,28996,28468,528,2707613,2629018,78595,1.179063
qasan_report_2025-05-16_00-04-43.txt,30221,29693,528,2901641,2823046,78595,1.214029
qasan_report_2025-05-16_00-05-17.txt,30221,29693,528,2901601,2823006,78595,1.189212
qasan_report_2025-05-16_00-05-53.txt,29409,28881,528,2773073,2694478,78595,1.194004
qasan_report_2025-05-16_00-06-29.txt,29822,29294,528,2838357,2759762,78595,1.195953
qasan_report_2025-05-16_00-07-03.txt,29003,28475,528,2708809,2630214,78595,1.191043
qasan_report_2025-05-16_00-07-37.txt,29010,28482,528,2709917,2631322,78595,1.152535
qasan_report_2025-05-16_00-08-12.txt,28081,27553,528,2572585,2493990,78595,1.150436
qasan_report_2025-05-16_00-08-47.txt,28011,27483,528,2561177,2482582,78595,1.134501
qasan_report_2025-05-16_00-09-22.txt,28130,27602,528,2579957,2501362,78595,1.147188
qasan_report_2025-05-16_00-09-56.txt,28130,27602,528,2580125,2501530,78595,1.144874
